time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1071014400, 1.2212, 1.2217, 1.2399, 1.2212, 1.490337373075663, -0.04094333442515107
1071100800, 1.2228, 1.2233, 1.242, 1.2228, 1.52927706902193, -0.04088976120379007
1071187200, 1.2276, 1.2281, 1.242, 1.2276, 1.132290648419683, -0.04072987943955237
1071446400, 1.2314, 1.2319, 1.242, 1.2314, 0.8202046451193761, -0.0406041903524399
1071532800, 1.2334, 1.2339, 1.242, 1.2334, 0.6567212583103612, -0.04053834927841291
1071619200, 1.2399, 1.2404, 1.2447, 1.2373, 0.3468021614646319, -0.2500201629163546
1071705600, 1.242, 1.2425, 1.2449, 1.2373, 0.193236714975842, -0.4186795491143214
1071792000, 1.2373, 1.2378, 1.2449, 1.2373, 0.5738301139578019, -0.04041057140547522
1072051200, 1.2405, 1.241, 1.2491, 1.2405, 0.6529625151148728, -0.04030632809350624
1072137600, 1.2409, 1.2414, 1.2549, 1.2409, 1.087920058022426, -0.04029333548230679
1072224000, 1.2447, 1.2452, 1.2597, 1.2431, 1.164939342813544, -0.1687153530971133
1072310400, 1.2449, 1.2454, 1.2597, 1.2431, 1.148686641497325, -0.1847537954855608
1072396800, 1.2431, 1.2436, 1.2597, 1.2431, 1.295149223714907, -0.04022202558120384
1072656000, 1.2491, 1.2496, 1.2678, 1.2491, 1.457049075334258, -0.04002882075093627
1072742400, 1.2549, 1.2554, 1.2728, 1.2549, 1.38656466650728, -0.03984381225595226
1072828800, 1.2597, 1.2602, 1.2728, 1.2566, 1.000238151940934, -0.2857823291259862
1072915200, 1.2566, 1.257, 1.2774, 1.2566, 1.623428298583495, -0.03183192742320197
1073001600, 1.2585, 1.2589, 1.2818, 1.2585, 1.8196265395312, -0.03178386968613079
1073260800, 1.2678, 1.2682, 1.2818, 1.2628, 1.072724404480207, -0.4259346900142035
1073347200, 1.2728, 1.2732, 1.2818, 1.2628, 0.6756756756756885, -0.8170961659333725
1073433600, 1.2628, 1.2632, 1.2818, 1.2628, 1.472917326575877, -0.03167564143173551
1073520000, 1.2774, 1.2778, 1.2818, 1.2592, 0.3131360576170348, -1.456082667919224
1073606400, 1.2818, 1.2822, 1.2818, 1.2394, -0.03120611639881073, -3.339054454673112
1073865600, 1.2738, 1.2742, 1.2767, 1.2357, 0.1962631496310211, -3.022452504317787
1073952000, 1.2767, 1.2771, 1.2767, 1.2357, -0.03133077465339985, -3.242735176627233
1074038400, 1.2646, 1.265, 1.2646, 1.2357, -0.03163055511623881, -2.316938162264739
1074124800, 1.2592, 1.2596, 1.2731, 1.2357, 1.072109275730628, -1.898030495552717
1074211200, 1.2394, 1.2398, 1.2731, 1.2357, 2.686783927706946, -0.3308052283362911
