time, signal, bids, asks, maxclose120h, target
2012.07.13 00:00:00, 0, 1.22485, 1.22519, 1.22945, 0.3477976895129959
2012.07.12 00:00:00, 1, 1.22029, 1.22075, 1.22933, 0.7031115554499365
2012.07.11 00:00:00, 0, 1.2238, 1.22418, 1.22933, 0.420820395489458
2012.07.10 00:00:00, 0, 1.22628, 1.22658, 1.22485, -0.141077078644356
2012.07.09 00:00:00, 0, 1.2295, 1.22998, 1.22628, -0.3009353395689334
2012.07.08 00:00:00, 0, 1.2287, 1.22903, 1.2295, 0.038251810857019
2012.07.06 00:00:00, 0, 1.22875, 1.22918, 1.2295, 0.02604272634792252
2012.07.05 00:00:00, 0, 1.23789, 1.23843, 1.2295, -0.7213888148381425
2012.07.04 00:00:00, 0, 1.25273, 1.25319, 1.23789, -1.221332609580683
2012.07.03 00:00:00, 0, 1.25861, 1.25896, 1.25273, -0.4949905053988096
